Group	macronutrient	n	mean	sd
Diabetic	Carbohydrate	62	46.0161980306402	7.47810751146414
Normal	Carbohydrate	47	49.8269368160473	8.9388296216692
Prediabetic	Carbohydrate	127	47.1151136369041	8.51683974623525
Diabetic	Protein	62	16.3638548949668	3.44630916928347
Normal	Protein	47	16.6320329861013	4.07042488189784
Prediabetic	Protein	127	16.3716660564981	3.52840851475363
Diabetic	Total Fat	62	37.619947074393	7.10703211361584
Normal	Total Fat	47	33.5410301978514	7.65143498298182
Prediabetic	Total Fat	127	36.5132203065978	7.52369901421144
