PC	var_explained
1	0.18714
2	0.13421
3	0.11318
4	0.07895
5	0.06881
6	0.05696
7	0.04873
8	0.03458
9	0.03385
10	0.03107
11	0.03019
12	0.029
13	0.02524
14	0.02406
15	0.01879
16	0.01563
17	0.01423
18	0.01342
19	0.00955
20	0.00702
21	0.00619
22	0.00555
23	0.00426
24	0.00331
25	0.00311
26	0.0014
27	0.00102
28	0.00055
29	0
30	0
