PC	var_explained
1	0.30844
2	0.07753
3	0.0693
4	0.05723
5	0.05175
6	0.04171
7	0.03841
8	0.03467
9	0.03053
10	0.02611
11	0.02471
12	0.02436
13	0.02282
14	0.02135
15	0.01979
16	0.01791
17	0.01634
18	0.01326
19	0.01266
20	0.01096
21	0.00961
22	0.00898
23	0.0078
24	0.00743
25	0.00713
26	0.00592
27	0.00513
28	0.00492
29	0.0042
30	0.00366
31	0.00328
32	0.00277
33	0.00251
34	0.00219
35	0.00177
36	0.00132
37	0.00116
38	4e-04
