Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
BMXBMI	0.015756112356631	-0.187313319238211	0.128603285615866	-0.0397404215571818	0.0382496953290955	-0.159521237213257	0.160305819665972	-0.396761334583472	0.1141055004371	-0.230679763976664	0.435734999685355	0.221700909702926	-0.0300533364357592	-0.128296603664127	-0.0900084376736229	0.394313974971817	-0.441077385724819	-0.0768180024096081	0.143751803463361	0.0468525441709015	-0.0771731360391418	-0.00591709036436249	-0.0745304974703297	-0.0394003950375589	0.00527068415116336	0.00621638939793908	0.0260171239542057	0.0641674740868479	-0.0533072844636879	-0.0299957893976784	-0.0534615726280033	-0.0170251757704009	0.0337854516358046	0.00909561465652218	0.0259817796265678	-0.00795718973229729	-0.0141157499728983	-0.00145944821719616
SODI	0.228567543245944	-0.196201499055758	-0.00933700831687279	-0.0914548599303555	0.0724464892686965	-0.07573526411509	0.103761209126651	0.0986019377776843	0.132530304486523	0.0480557924825135	-0.0285657694398128	0.0176033301773116	-0.0363765967812239	-0.0963638056978366	-0.0750602716731799	0.0427996873055135	0.0231308528911466	-0.0907696863963038	-0.147632672107197	-0.250014483526936	0.0316110289818737	-0.0980521629616606	-0.0645198177187772	0.319634964789291	-0.148632722800385	0.394750506760743	-0.115876744327778	-0.298538636425023	-0.156615052838802	-0.249932076944286	0.322811806868084	0.0136874711945821	-0.158562646483874	0.137129809711475	0.142232875711851	-0.264926009930775	0.108895861119638	-0.0464852932111151
CARB	0.213395570952795	0.00406278621086993	0.0840659524105944	-0.0794516353561995	0.0591994022574819	-0.111391696956796	-0.211939358621678	-0.112428973386814	0.0603422920220827	-0.0331797634182522	-0.182379421966294	-0.0226777706279413	-0.23204661919735	-0.0470452458310737	-0.19842923189455	0.0934939754969915	-0.0138635004502688	-0.163754240254857	-0.231505279394347	-0.0914784578771893	0.0147474618008641	-0.0524262021669012	0.40744867923636	-0.134081145157427	0.515834261036888	0.24257927640046	0.255981559002842	-0.0339636927705031	0.154057514687993	0.133431910184304	-0.0102533894730484	-0.0258865263357664	0.0953918144036407	-0.0549630998373881	-0.0234258453001539	-0.00267003329493703	-0.00579216725109429	-0.0483787636974354
FF	0.172191905713593	0.232580679519906	-0.00846686307890443	-0.182411826791822	0.170405573685527	0.0938242891284571	-0.183704103111351	-0.0396547660015191	-0.0696270226768378	-0.100453007757709	-0.0180987964819907	0.107987804129991	-0.138533658273794	-0.250306608146672	-0.00216951668203111	-0.0862575657211827	-0.0213652622033932	0.28258208776156	0.00208448026764582	0.114496733669305	-0.038591152413703	-0.45768797528091	-0.106227295852938	-0.337549648547227	-0.185164788933309	0.212012731679123	-0.282086651453537	-0.0579903136637228	0.0442129470965865	-0.0682038973860403	-0.1508873875899	0.0973882112598864	0.200321058767264	0.0345702512500972	-0.0608185131005434	-0.103277564471598	-0.0820939519888104	0.0214489917164681
TFAT	0.221812151540852	-0.319346018069979	-0.065079109542923	-0.114200761583203	-0.0208741817636766	0.0899255510028892	0.0292637455417584	0.0414825319922011	0.0930060136072558	0.0369341691502485	-0.0154538609928792	-0.00736393417975933	-0.0188762490309869	-0.0449071581654599	-0.0114917923731247	-0.0939343031402617	0.080517593476301	-0.00878552508856168	0.157468606796418	0.0668823125776933	-0.162067002958707	0.0584344235754088	0.103663948643861	-0.0588650213070882	0.00808798813323432	-0.0619678223550436	0.0594046802824025	-0.0273274865573413	0.0171202978498097	-0.0510999522693379	-0.0744227929009987	-0.0281896828682767	0.0143682789179096	0.0174322862549495	0.0196391046871384	-0.0557977270277555	-0.0555735890692224	0.833406705058351
PFAT	0.191811003854838	-0.226980156529014	-0.151852596989776	-0.162174963882115	0.138231404269793	0.13860771585264	0.139837258741076	-0.0605068501023348	0.0934728307712202	0.0721973494645829	-0.0751698664485024	0.0163170141988043	-0.0726295786741433	-0.0327049298336864	-0.0955089674052305	-0.131188283521197	0.0801465470034139	-0.0392897970199113	0.305927934409096	0.205794296610676	-0.0633056370645416	0.150751780245965	0.31943869389001	0.119086017662474	-0.134432984329945	-0.0796775703364807	-0.0635112879447611	-0.212613928225331	-0.134911594005877	-0.0375498867686814	-0.191785805930797	-0.251754964370767	0.268702713491812	0.0910582600059299	-0.130474946264301	0.136822764977305	-0.0491776460711282	-0.38638723368236
CHL	0.206502562706014	-0.126544588864315	-0.0912825844765812	-0.0133884465488492	0.154993243464171	-0.0547108077658514	-0.0471255946702467	0.290872641657985	-0.0919758928380918	-0.125535118971836	0.108532714203943	0.199613788552911	0.150641917195832	0.0457978187621734	0.0453781670530049	0.0139212107857316	-0.0139461782522634	-0.0756941848849188	-0.0535210239130827	0.153988778718617	0.164731226108464	-0.430791359354823	0.175443104181675	0.236281467789362	-0.0127304462443887	-0.186982265738627	0.110283784322906	0.370237926593664	0.0503097494650365	-0.138561290646426	0.301822574275704	-0.048465746650687	0.061853700169812	-0.099137077959609	-0.0479436201213484	0.187770786667216	-0.181580811293687	-0.023478968764084
ATOC	0.208407275041607	-0.0948627277517179	-0.0943421853104652	-0.126724278106179	0.173853292965804	0.291309047011414	0.0769375991001544	-0.170860105306031	0.0326041326055868	-0.0902559350845806	0.0256737185733738	-0.162354303584974	-0.0184414143498508	0.035648821550983	0.214611637598748	-0.0156468650115664	0.0336831527477784	-0.0128491848922627	0.19572689992729	-0.0285832369330308	-0.0335152868301908	0.0324825217747091	0.142640351391599	-0.0379429879668713	-0.0877042115201483	-0.00316926784310486	0.0363424735441383	0.161536308034754	0.160148289712327	0.349258248502712	0.133143633065548	0.445780621358644	-0.368386485666209	-0.0214113464938469	0.0492426094813547	-0.206451480158203	-0.1196275796016	-0.17076381136611
ATOA	0.0781842006992951	0.0229101046224614	0.0299294699616225	0.123059331100636	0.0655305692494678	0.487014898472075	0.153460735244623	-0.100435941881855	0.155875356843364	-0.256913866990845	-0.136649492433394	-0.370012878887842	0.151858013149737	0.173123615427166	0.249076088808673	0.331797132753491	-0.0221364768265641	-0.0289967101404652	-0.200701922796094	-0.0747992403387921	0.042822850076995	-0.225162180458805	-0.0521783420359433	0.0244149160681144	0.0631882382950006	0.00359596511160008	0.0232793536404475	-0.0629323694248579	-0.0485853969608479	-0.13468511493968	-0.156914479596398	-0.197622586331915	0.104113340735828	0.0630351534233457	-0.0135159779822187	0.115667958451734	0.065073252523092	0.0530088167701008
VARA	0.178115361993388	0.207127051121206	0.0513388151710825	-0.172786587143277	-0.281573720945634	0.0309548392321056	0.15893183138934	-0.00142425706080978	-0.0480403805447323	-0.0677865889244248	-0.0725438050734327	0.0153366448823157	0.198510470529754	0.155991148842971	-0.172759155628872	-0.0509044106907853	-0.0158667044768818	-0.377758245164141	0.053418445726432	0.0749405174094688	0.0503317373470269	-0.0451170590911031	-0.0384746238777124	-0.207530913731476	-0.0680491198393522	-0.0932334795839891	0.183034682947825	-0.0572843490426592	-0.278255237203564	-0.0871527355427257	0.118949846967968	0.415944058704425	0.26033700700743	0.0452477946374305	-0.192247871847583	-0.0823223976886705	0.205910745568563	0.0040322391366965
ACAR	0.0876393725496084	0.107820161541481	0.0109257590959253	-0.38601920220108	-0.0802353255351233	-0.101785478565421	0.343571022843761	-0.0293995844988528	0.0125784387248511	0.174524505038357	-0.049102454875648	-0.0451018507623922	-0.000100923914982768	0.30185870743925	-0.197415072016664	0.0903286402535874	0.0149218705566764	0.536376372524982	0.041152176744269	-0.0255451313820156	-0.139766015085084	-0.13861482373164	-0.0907481658978112	0.266167654037818	0.232989525411525	0.0434610939908367	0.0303148762660484	0.165969757020678	-0.0343080323470017	0.0691477130259456	-0.0748859697556817	0.0613679520894369	-0.00612813636938998	-0.0308368145639499	-0.016136564235913	0.072470465138622	0.089173244548969	0.00522258661770417
