"Axis"	"Eigen"
1	0.0383080824788026
2	0.0214907856397828
3	0.0205361005776347
4	0.018701621161988
5	0.0171151090801958
6	0.0153740088274084
7	0.0146730759549822
8	0.0140493014464197
9	0.0131668325786012
10	0.0126653739316287
11	0.0122223849951071
12	0.0116298075534317
13	0.0113025508192406
14	0.0107746168091754
15	0.0104748186746372
16	0.010149462992025
17	0.0100268389308812
18	0.0095046778406783
19	0.00923898116623721
20	0.00902121291865384
21	0.00881378207296401
22	0.0086170086779716
23	0.0085082018109073
24	0.00845387426130154
25	0.00822205513621761
26	0.00807142845096485
27	0.0078841140145069
28	0.00785375850877137
29	0.00772302355703559
30	0.00748748975843097
31	0.00728579516640837
32	0.00704267270178625
33	0.00694845012371071
34	0.0068549060171054
35	0.0067460001999949
36	0.00670631285360916
37	0.00658649274490485
38	0.00647761541651241
39	0.00632650595852703
40	0.00630068392522964
41	0.00623150276982786
42	0.00613447757081792
43	0.00606313972611731
44	0.00597640977158838
45	0.00590926065875364
46	0.00589189605654357
47	0.00578624543894657
48	0.00577702248075434
49	0.00563085529566585
50	0.00554397804943039
51	0.00553389391021267
52	0.00545044812115654
53	0.00542574503922419
54	0.00532814857110638
55	0.00527868831463758
56	0.00520170760639438
57	0.00514370832467347
58	0.00507304312607539
59	0.00499031616541517
60	0.00493736502902123
61	0.00492623213244242
62	0.00489489478940667
63	0.00486045643937245
64	0.00481506768965779
65	0.00476699492188242
66	0.00475486184270205
67	0.00471313555000861
68	0.00467673312799854
69	0.00463130873012762
70	0.00455877793841507
71	0.00451683154049835
72	0.00449453133237373
73	0.0044372708419114
74	0.00440673932282388
75	0.00431779034250424
76	0.00430871336894397
77	0.00427276387100883
78	0.00425972031614883
79	0.00418207502117522
80	0.00414539503026251
81	0.00412902416800879
82	0.00409385265579771
83	0.00405065354545435
84	0.00402374087718667
85	0.00397258419553742
86	0.003948491822646
87	0.00389232226466283
88	0.0038810352922746
89	0.0038452280536412
90	0.00381066430285399
91	0.00378463768760328
92	0.0037709512676251
93	0.00372630569347089
94	0.0036744558694473
95	0.00362888357814663
96	0.00362715286108437
97	0.00356815856138614
98	0.00355162220594957
99	0.00351122647438775
100	0.00348081578471909
101	0.00346313893232396
102	0.00344626270725122
103	0.00343861056352199
104	0.00335309343004579
105	0.00334469822485684
106	0.00333016595118954
107	0.00330350892116467
108	0.00324546319219544
109	0.00323596022350256
110	0.00319783851308481
111	0.00319177316615283
112	0.00317839902405251
113	0.00313287231032556
114	0.0031012754219002
115	0.00309643564208564
116	0.00305081489738051
117	0.00304271696065511
118	0.0030304633387463
119	0.00301574172468102
120	0.0029988035258245
121	0.00296252588778317
122	0.00294793919774492
123	0.00290998421608198
124	0.00289234164523127
125	0.00287132225478145
126	0.00284364774353364
127	0.00283452572016953
128	0.0027925002941886
129	0.0027880940718584
130	0.00277222371031398
131	0.00273963984524177
132	0.00270954661083403
133	0.00268375213922919
134	0.0026576077919416
135	0.00264463818711936
136	0.00262150724741577
137	0.00261414020847441
138	0.00258837313106662
139	0.00257436273548653
140	0.00255514069235595
141	0.00252368492367435
142	0.00251930088662724
143	0.00251098469482628
144	0.0024888697254576
145	0.00245532010881309
146	0.00244785088783249
147	0.00241573379920649
148	0.00240471464933683
149	0.00238962972151156
150	0.0023643480926263
151	0.00233392872899046
152	0.00232683486552361
153	0.00230405273792396
154	0.00229795667541769
155	0.00228755343016272
156	0.00226211004802032
157	0.00226151644239376
158	0.00222132320265182
159	0.00220062116849614
160	0.00219235536236878
161	0.00216341539444587
162	0.002154111594286
163	0.00214593503858586
164	0.00212924177737725
165	0.00210567849028006
166	0.00209667725105601
167	0.00208591978813219
168	0.00205306047647956
169	0.00203979781521934
170	0.00200771266945052
171	0.00199555353990574
172	0.00198231411553572
173	0.00195401853026036
174	0.00193951297358773
175	0.00193458927898279
176	0.00192196595907158
177	0.00191191820732939
178	0.00189914193603301
179	0.00187326239412723
180	0.00183951763347524
181	0.00183041594587694
182	0.00181989429760055
183	0.00179762260648468
184	0.00178550787082498
185	0.00177333213849447
186	0.00176921371553879
187	0.00174908133727562
188	0.00173104181136591
189	0.00173014387622064
190	0.00170952583126844
191	0.00166982792895983
192	0.00165618205772978
193	0.00163570886287031
194	0.00162347582096669
195	0.00161657571206562
196	0.00159629057776113
197	0.00156956149931706
198	0.00155027673785255
199	0.00153538288084556
200	0.00152121246361772
201	0.00150330257503704
202	0.00148914730971358
203	0.00147713431371403
204	0.00144662085985674
205	0.00143187396067566
206	0.00142698000890487
207	0.00139830203803356
208	0.00138697336072547
209	0.00137154615546892
210	0.00136697840305533
211	0.00135809986223396
212	0.00133764784160148
213	0.00132346679098438
214	0.00131902215134372
215	0.00129577782443433
216	0.00127938159872527
217	0.00125159155146285
218	0.0012298138632449
219	0.00121196187154073
220	0.00118270819768038
221	0.00116301368435017
222	0.00114263961517432
223	0.00112610176249749
224	0.00111504269275685
225	0.00109007803552577
226	0.00107557167622592
227	0.0010346930866389
228	0.00100978322123028
229	0.000993694539200382
230	0.000981716755249492
231	0.000959293653760987
232	0.000915995189597965
233	0.000870760071612637
234	0.000799346083607928
235	0.000764011331637019
