Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
BMI	0.0275226315925526	-0.150461629115403	-0.24307946194678	-0.0700039761600612	0.354222850366124	-0.121007256637958	0.412771736261899	-0.239751408593883	-0.0585627520849441	0.00982567962925935	0.333714313394762	0.0649491975041909	-0.16402618528314	0.139300012172253	-0.0800842973128384
CHOLN	0.241447576011833	-0.0158311919658027	0.334315752597258	0.0277546466470394	0.0717201148458707	0.0277466457343962	0.10922993629375	0.0742857925537793	-0.0320151980071801	-0.142041837931354	-0.00404631635035982	0.0485042784279052	0.157313379170269	0.187601222736107	0.0510803137341117
TFAT	0.135169673390662	-0.319101813817023	0.045268817918345	0.15211329564624	0.147802111631498	0.12038635658062	0.0166157086958082	-0.156237354102016	0.0412892111440605	0.195175752701667	0.080286072807288	0.0817006158221357	0.127848539435667	0.0442459353879974	-0.215496352356239
CARB	-0.0729360287100253	-0.318048898715817	-0.214269922487379	-0.0669326555627555	-0.094517914302546	-0.00354065878952108	-0.0796486758421447	-0.187510902394343	0.0976438815897041	-0.177477148962602	-0.0544414076547207	-0.0812098508307089	-0.150875500041101	-0.206908651437696	0.143952004586215
CAFF	0.0887617820760609	-0.283919158140893	-0.236324764342849	-0.0237480835230906	-0.0376292326150845	-0.0902471659415271	0.0993989495903606	-0.0960386685219368	0.121591420886733	0.134149245618265	-0.265563259348022	-0.148200430877306	0.660982603742374	-0.258406633435794	0.097025498606038
VC	-0.307373147746178	0.0455708736137291	0.109445863108746	0.0628259308224974	0.0524519106889884	-0.292489546825634	-0.203505658684945	-0.109280380046762	-0.153354653106865	0.0175205122990583	-0.0315724700057706	0.121544586381517	0.00602612318467376	0.355959937514987	0.0400316372093027
CALC	0.081837831171306	-0.260320793806868	-0.0893630271239669	0.33625543428631	0.00821867399550788	0.08292501216012	-0.0881593900099523	0.00808731157979533	0.383050573576719	0.0807749010241177	0.103722385029955	-0.0570778941086588	-0.0599442278580975	0.197551704215846	0.0621664319520115
FA	-0.114359578014338	-0.255523531581355	-0.117021533523338	-0.146308228662532	-0.315024119426868	-0.212595055224162	0.0279114112147193	-0.175294434916379	0.218623268221168	-0.0617883045317628	0.069051956015046	0.00301533972402119	-0.171581130005277	0.260924541798563	-0.183904738281849
MAGN	-0.212587645090053	-0.0990647232695667	0.153003349750429	-0.0169945230156064	-0.133221775367677	0.570667859990417	0.0357657779271351	-0.0238808214266941	0.334376529882128	-0.0740068603722365	0.145242541726151	0.0339319907401835	0.0264263385451655	0.0208293198617097	0.192327386245296
PHOS	0.239554345200092	-0.184582054640866	0.21294655534511	0.119705619599882	0.00912237496185895	0.152708523100536	0.124213552716533	0.103384793135176	0.122763173030806	-0.1579484321805	-0.0656866257849762	0.131193081661428	-0.0994407864674742	0.252770347767316	0.162546315413087
