"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
1.1e+07	"MILK, HUMAN"	"Milk, human"
11100000	"MILK, NFS"	"Milk, NFS"
11111000	"MILK, WHOLE"	"Milk, whole"
11111100	"MILK, LOW SODIUM, WHOLE"	"Milk, low sodium, whole"
11111150	"MILK, CALCIUM FORTIFIED, WHOLE"	"Milk, calcium fortified, whole"
11111160	"MILK, CALCIUM FORTIFIED, LOW FAT (1_)"	"Milk, calcium fortified, low fat (1_)"
11111170	"MILK, CALCIUM FORTIFIED, FAT FREE (SKIM)"	"Milk, calcium fortified, fat free (skim)"
11112110	"MILK, REDUCED FAT (2_)"	"Milk, reduced fat (2_)"
11112120	"MILK, ACIDOPHILUS, LOW FAT (1_)"	"Milk, acidophilus, low fat (1_)"
11112130	"MILK, ACIDOPHILUS, REDUCED FAT (2_)"	"Milk, acidophilus, reduced fat (2_)"
11112210	"MILK, LOW FAT (1_)"	"Milk, low fat (1_)"
11113000	"MILK, FAT FREE (SKIM)"	"Milk, fat free (skim)"
11114300	"MILK, LACTOSE FREE, LOW FAT (1_)"	"Milk, lactose free, low fat (1_)"
11114320	"MILK, LACTOSE FREE, FAT FREE (SKIM)"	"Milk, lactose free, fat free (skim)"
11114330	"MILK, LACTOSE FREE, REDUCED FAT (2_)"	"Milk, lactose free, reduced fat (2_)"
11114350	"MILK, LACTOSE FREE, WHOLE"	"Milk, lactose free, whole"
11115000	"BUTTERMILK, FAT FREE (SKIM)"	"Buttermilk, fat free (skim)"
11115100	"BUTTERMILK, LOW FAT (1_)"	"Buttermilk, low fat (1_)"
11115200	"BUTTERMILK, REDUCED FAT (2_)"	"Buttermilk, reduced fat (2_)"
11115300	"BUTTERMILK, WHOLE"	"Buttermilk, whole"
11115400	"KEFIR, NS AS TO FAT CONTENT"	"Kefir, NS as to fat content"
11116000	"GOAT_S MILK, WHOLE"	"Goat_s milk, whole"
11120000	"MILK, DRY, RECONSTITUTED, NS AS TO FAT CONTENT"	"Milk, dry, reconstituted, NS as to fat content"
11121100	"MILK, DRY, RECONSTITUTED, WHOLE"	"Milk, dry, reconstituted, whole"
11121210	"MILK, DRY, RECONSTITUTED, LOW FAT (1_)"	"Milk, dry, reconstituted, low fat (1_)"
11121300	"MILK, DRY, RECONSTITUTED, FAT FREE (SKIM)"	"Milk, dry, reconstituted, fat free (skim)"
11210050	"MILK, EVAPORATED, NS AS TO FAT CONTENT"	"Milk, evaporated, NS as to fat content"
11211050	"MILK, EVAPORATED, WHOLE"	"Milk, evaporated, whole"
11211400	"MILK, EVAPORATED, REDUCED FAT (2_)"	"Milk, evaporated, reduced fat (2_)"
11212050	"MILK, EVAPORATED, FAT FREE (SKIM)"	"Milk, evaporated, fat free (skim)"
11220000	"MILK, CONDENSED, SWEETENED"	"Milk, condensed, sweetened"
11300100	"NON-DAIRY MILK, NFS"	"Non-dairy milk, NFS"
11320000	"SOY MILK"	"Soy milk"
11320100	"SOY MILK, LIGHT"	"Soy milk, light"
11320200	"SOY MILK, NONFAT"	"Soy milk, nonfat"
11321000	"SOY MILK, CHOCOLATE"	"Soy milk, chocolate"
11321100	"SOY MILK, LIGHT, CHOCOLATE"	"Soy milk, light, chocolate"
11321200	"SOY MILK, NONFAT, CHOCOLATE"	"Soy milk, nonfat, chocolate"
11340000	"IMITATION MILK, NON-SOY, SWEETENED"	"Imitation milk, non-soy, sweetened"
11350000	"ALMOND MILK, SWEETENED"	"Almond milk, sweetened"
11350010	"ALMOND MILK, SWEETENED, CHOCOLATE"	"Almond milk, sweetened, chocolate"
11350020	"ALMOND MILK, UNSWEETENED"	"Almond milk, unsweetened"
11350030	"ALMOND MILK, UNSWEETENED, CHOCOLATE"	"Almond milk, unsweetened, chocolate"
11360000	"RICE MILK"	"Rice milk"
11370000	"COCONUT MILK"	"Coconut milk"
11400000	"YOGURT, NFS"	"Yogurt, NFS"
11400010	"YOGURT, GREEK, NS AS TO TYPE OF MILK OR FLAVOR"	"Yogurt, Greek, NS as to type of milk or flavor"
11410000	"YOGURT, NS AS TO TYPE OF MILK OR FLAVOR"	"Yogurt, NS as to type of milk or flavor"
11411010	"YOGURT, NS AS TO TYPE OF MILK, PLAIN"	"Yogurt, NS as to type of milk, plain"
11411100	"YOGURT, WHOLE MILK, PLAIN"	"Yogurt, whole milk, plain"
11411200	"YOGURT, LOW FAT MILK, PLAIN"	"Yogurt, low fat milk, plain"
11411300	"YOGURT, NONFAT MILK, PLAIN"	"Yogurt, nonfat milk, plain"
11411390	"YOGURT, GREEK, NS AS TO TYPE OF MILK, PLAIN"	"Yogurt, Greek, NS as to type of milk, plain"
11411400	"YOGURT, GREEK, WHOLE MILK, PLAIN"	"Yogurt, Greek, whole milk, plain"
11411410	"YOGURT, GREEK, LOW FAT MILK, PLAIN"	"Yogurt, Greek, low fat milk, plain"
11411420	"YOGURT, GREEK, NONFAT MILK, PLAIN"	"Yogurt, Greek, nonfat milk, plain"
11430000	"YOGURT, NS AS TO TYPE OF MILK, FRUIT"	"Yogurt, NS as to type of milk, fruit"
11431000	"YOGURT, WHOLE MILK, FRUIT"	"Yogurt, whole milk, fruit"
11432000	"YOGURT, LOW FAT MILK, FRUIT"	"Yogurt, low fat milk, fruit"
11433000	"YOGURT, NONFAT MILK, FRUIT"	"Yogurt, nonfat milk, fruit"
11433990	"YOGURT, GREEK, NS AS TO TYPE OF MILK, FRUIT"	"Yogurt, Greek, NS as to type of milk, fruit"
11434000	"YOGURT, GREEK, WHOLE MILK, FRUIT"	"Yogurt, Greek, whole milk, fruit"
11434010	"YOGURT, GREEK, LOW FAT MILK, FRUIT"	"Yogurt, Greek, low fat milk, fruit"
11434020	"YOGURT, GREEK, NONFAT MILK, FRUIT"	"Yogurt, Greek, nonfat milk, fruit"
11434090	"YOGURT, NS AS TO TYPE OF MILK, FLAVORS OTHER THAN FRUIT"	"Yogurt, NS as to type of milk, flavors other than fruit"
11434100	"YOGURT, WHOLE MILK, FLAVORS OTHER THAN FRUIT"	"Yogurt, whole milk, flavors other than fruit"
11434200	"YOGURT, LOW FAT MILK, FLAVORS OTHER THAN FRUIT"	"Yogurt, low fat milk, flavors other than fruit"
11434300	"YOGURT, NONFAT MILK, FLAVORS OTHER THAN FRUIT"	"Yogurt, nonfat milk, flavors other than fruit"
11435000	"YOGURT, GREEK, NS AS TO TYPE OF MILK, FLAVORS OTHER THAN FRU"	"Yogurt, Greek, NS as to type of milk, flavors other than fruit"
11435010	"YOGURT, GREEK, WHOLE MILK, FLAVORS OTHER THAN FRUIT"	"Yogurt, Greek, whole milk, flavors other than fruit"
11435020	"YOGURT, GREEK, LOW FAT MILK, FLAVORS OTHER THAN FRUIT"	"Yogurt, Greek, low fat milk, flavors other than fruit"
11435030	"YOGURT, GREEK, NONFAT MILK, FLAVORS OTHER THAN FRUIT"	"Yogurt, Greek, nonfat milk, flavors other than fruit"
11435100	"YOGURT, GREEK, WITH OATS"	"Yogurt, Greek, with oats"
11436000	"YOGURT, LIQUID"	"Yogurt, liquid"
11440010	"CHIPOTLE DIP, YOGURT BASED"	"Chipotle dip, yogurt based"
11440020	"DILL DIP, YOGURT BASED"	"Dill dip, yogurt based"
11440030	"ONION DIP, YOGURT BASED"	"Onion dip, yogurt based"
11440040	"RANCH DIP, YOGURT BASED"	"Ranch dip, yogurt based"
11440050	"SPINACH DIP, YOGURT BASED"	"Spinach dip, yogurt based"
11440060	"TZATZIKI DIP"	"Tzatziki dip"
11440070	"VEGETABLE DIP, YOGURT BASED"	"Vegetable dip, yogurt based"
11446000	"YOGURT PARFAIT, LOW FAT, WITH FRUIT"	"Yogurt parfait, low fat, with fruit"
11459990	"YOGURT, FROZEN, NS AS TO FLAVOR, NS AS TO TYPE OF MILK"	"Yogurt, frozen, NS as to flavor, NS as to type of milk"
11460000	"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, NS AS TO TYPE"	"Yogurt, frozen, flavors other than chocolate, NS as to type of milk"
11460100	"YOGURT, FROZEN, CHOCOLATE, NS AS TO TYPE OF MILK"	"Yogurt, frozen, chocolate, NS as to type of milk"
11460150	"YOGURT, FROZEN, NS AS TO FLAVOR, LOWFAT MILK"	"Yogurt, frozen, NS as to flavor, lowfat milk"
11460160	"YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK"	"Yogurt, frozen, chocolate, lowfat milk"
11460170	"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, LOWFAT MILK"	"Yogurt, frozen, flavors other than chocolate, lowfat milk"
11460190	"YOGURT, FROZEN, NS AS TO FLAVOR, NONFAT MILK"	"Yogurt, frozen, NS as to flavor, nonfat milk"
11460200	"YOGURT, FROZEN, CHOCOLATE, NONFAT MILK"	"Yogurt, frozen, chocolate, nonfat milk"
11460250	"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, WITH SORBET OR"	"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"
11460300	"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, NONFAT MILK"	"Yogurt, frozen, flavors other than chocolate, nonfat milk"
11460400	"YOGURT, FROZEN, CHOCOLATE, NONFAT MILK, WITH LOW-CALORIE SWE"	"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"
11460410	"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, NONFAT MILK, W"	"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"
11460420	"YOGURT, FROZEN, NS AS TO FLAVOR, WHOLE MILK"	"Yogurt, frozen, NS as to flavor, whole milk"
11460430	"YOGURT, FROZEN, CHOCOLATE, WHOLE MILK"	"Yogurt, frozen, chocolate, whole milk"
11460440	"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, WHOLE MILK"	"Yogurt, frozen, flavors other than chocolate, whole milk"
11461000	"YOGURT, FROZEN, CHOCOLATE-COATED"	"Yogurt, frozen, chocolate-coated"
11461200	"YOGURT, FROZEN, SANDWICH"	"Yogurt, frozen, sandwich"
11461250	"YOGURT, FROZEN, CONE, CHOCOLATE"	"Yogurt, frozen, cone, chocolate"
11461260	"YOGURT, FROZEN, CONE, FLAVORS OTHER THAN CHOCOLATE"	"Yogurt, frozen, cone, flavors other than chocolate"
11461270	"YOGURT, FROZEN, CONE, FLAVORS OTHER THAN CHOCOLATE, LOWFAT M"	"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"
11461280	"YOGURT, FROZEN, CONE, CHOCOLATE, LOWFAT MILK"	"Yogurt, frozen, cone, chocolate, lowfat milk"
11480010	"YOGURT, WHOLE MILK, BABY FOOD"	"Yogurt, whole milk, baby food"
11480020	"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER"	"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS"
11480030	"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER"	"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron"
11480040	"YOGURT, WHOLE MILK, BABY FOOD, WITH FRUIT AND MULTIGRAIN CER"	"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA"
11511000	"CHOCOLATE MILK, NFS"	"Chocolate milk, NFS"
11511100	"CHOCOLATE MILK, READY TO DRINK, WHOLE"	"Chocolate milk, ready to drink, whole"
11511200	"CHOCOLATE MILK, READY TO DRINK, REDUCED FAT"	"Chocolate milk, ready to drink, reduced fat"
11511300	"CHOCOLATE MILK, READY TO DRINK, FAT FREE"	"Chocolate milk, ready to drink, fat free"
11511400	"CHOCOLATE MILK, READY TO DRINK, LOW FAT"	"Chocolate milk, ready to drink, low fat"
11511550	"CHOCOLATE MILK, READY TO DRINK, REDUCED SUGAR, NS AS TO MILK"	"Chocolate milk, ready to drink, reduced sugar, NS as to milk"
11511600	"CHOCOLATE MILK, READY TO DRINK, LOW FAT (NESQUIK)"	"Chocolate milk, ready to drink, low fat (Nesquik)"
11511610	"CHOCOLATE MILK, READY TO DRINK, FAT FREE (NESQUIK)"	"Chocolate milk, ready to drink, fat free (Nesquik)"
11511700	"CHOCOLATE MILK, READY TO DRINK, LOW FAT, NO SUGAR ADDED (NES"	"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)"
11512010	"HOT CHOCOLATE _ COCOA, READY TO DRINK"	"Hot chocolate _ Cocoa, ready to drink"
11512020	"HOT CHOCOLATE _ COCOA, READY TO DRINK, MADE WITH NONFAT MILK"	"Hot chocolate _ Cocoa, ready to drink, made with nonfat milk"
11512030	"HOT CHOCOLATE _ COCOA, READY TO DRINK, MADE WITH NON-DAIRY M"	"Hot chocolate _ Cocoa, ready to drink, made with non-dairy milk"
11512100	"HOT CHOCOLATE _ COCOA, READY TO DRINK, WITH WHIPPED CREAM"	"Hot chocolate _ Cocoa, ready to drink, with whipped cream"
11512110	"HOT CHOCOLATE _ COCOA, READY TO DRINK, MADE WITH NONFAT MILK"	"Hot chocolate _ Cocoa, ready to drink, made with nonfat milk and whipped cream"
11512120	"HOT CHOCOLATE _ COCOA, READY TO DRINK, MADE WITH NON-DAIRY M"	"Hot chocolate _ Cocoa, ready to drink, made with non-dairy milk and whipped cream"
11513000	"CHOCOLATE MILK, MADE FROM DRY MIX, NS AS TO TYPE OF MILK"	"Chocolate milk, made from dry mix, NS as to type of milk"
11513100	"CHOCOLATE MILK, MADE FROM DRY MIX WITH WHOLE MILK"	"Chocolate milk, made from dry mix with whole milk"
11513150	"CHOCOLATE MILK, MADE FROM DRY MIX WITH REDUCED FAT MILK"	"Chocolate milk, made from dry mix with reduced fat milk"
11513200	"CHOCOLATE MILK, MADE FROM DRY MIX WITH LOW FAT MILK"	"Chocolate milk, made from dry mix with low fat milk"
11513300	"CHOCOLATE MILK, MADE FROM DRY MIX WITH FAT FREE MILK"	"Chocolate milk, made from dry mix with fat free milk"
11513310	"CHOCOLATE MILK, MADE FROM DRY MIX WITH NON-DAIRY MILK"	"Chocolate milk, made from dry mix with non-dairy milk"
11513350	"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX, NS AS TO TYPE O"	"Chocolate milk, made from reduced sugar mix, NS as to type of milk"
11513355	"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH WHOLE MILK"	"Chocolate milk, made from reduced sugar mix with whole milk"
11513360	"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH REDUCED FAT"	"Chocolate milk, made from reduced sugar mix with reduced fat milk"
11513365	"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH LOW FAT MIL"	"Chocolate milk, made from reduced sugar mix with low fat milk"
11513370	"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH FAT FREE MI"	"Chocolate milk, made from reduced sugar mix with fat free milk"
11513375	"CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH NON-DAIRY M"	"Chocolate milk, made from reduced sugar mix with non-dairy milk"
11513380	"CHOCOLATE MILK, MADE FROM DRY MIX, NS AS TO TYPE OF MILK (NE"	"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)"
11513381	"CHOCOLATE MILK, MADE FROM DRY MIX WITH WHOLE MILK (NESQUIK)"	"Chocolate milk, made from dry mix with whole milk (Nesquik)"
11513382	"CHOCOLATE MILK, MADE FROM DRY MIX WITH REDUCED FAT MILK (NES"	"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)"
11513383	"CHOCOLATE MILK, MADE FROM DRY MIX WITH LOW FAT MILK (NESQUIK"	"Chocolate milk, made from dry mix with low fat milk (Nesquik)"
11513384	"CHOCOLATE MILK, MADE FROM DRY MIX WITH FAT FREE MILK (NESQUI"	"Chocolate milk, made from dry mix with fat free milk (Nesquik)"
11513385	"CHOCOLATE MILK, MADE FROM DRY MIX WITH NON-DAIRY MILK (NESQU"	"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)"
11513390	"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX, NS AS TO T"	"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)"
11513391	"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH WHOLE"	"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)"
11513392	"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH REDUCE"	"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)"
11513393	"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH LOW FA"	"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)"
11513394	"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH FAT FR"	"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)"
11513395	"CHOCOLATE MILK, MADE FROM NO SUGAR ADDED DRY MIX WITH NON-DA"	"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)"
11513400	"CHOCOLATE MILK, MADE FROM SYRUP, NS AS TO TYPE OF MILK"	"Chocolate milk, made from syrup, NS as to type of milk"
11513500	"CHOCOLATE MILK, MADE FROM SYRUP WITH WHOLE MILK"	"Chocolate milk, made from syrup with whole milk"
11513550	"CHOCOLATE MILK, MADE FROM SYRUP WITH REDUCED FAT MILK"	"Chocolate milk, made from syrup with reduced fat milk"
11513600	"CHOCOLATE MILK, MADE FROM SYRUP WITH LOW FAT MILK"	"Chocolate milk, made from syrup with low fat milk"
11513700	"CHOCOLATE MILK, MADE FROM SYRUP WITH FAT FREE MILK"	"Chocolate milk, made from syrup with fat free milk"
11513750	"CHOCOLATE MILK, MADE FROM SYRUP WITH NON-DAIRY MILK"	"Chocolate milk, made from syrup with non-dairy milk"
11513800	"CHOCOLATE MILK, MADE FROM LIGHT SYRUP, NS AS TO TYPE OF MILK"	"Chocolate milk, made from light syrup, NS as to type of milk"
11513801	"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH WHOLE MILK"	"Chocolate milk, made from light syrup with whole milk"
11513802	"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH REDUCED FAT MILK"	"Chocolate milk, made from light syrup with reduced fat milk"
11513803	"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH LOW FAT MILK"	"Chocolate milk, made from light syrup with low fat milk"
11513804	"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH FAT FREE MILK"	"Chocolate milk, made from light syrup with fat free milk"
11513805	"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH NON-DAIRY MILK"	"Chocolate milk, made from light syrup with non-dairy milk"
11513850	"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP, NS AS TO TYPE OF"	"Chocolate milk, made from sugar free syrup, NS as to type of milk"
11513851	"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH WHOLE MILK"	"Chocolate milk, made from sugar free syrup with whole milk"
11513852	"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH REDUCED FAT"	"Chocolate milk, made from sugar free syrup with reduced fat milk"
11513853	"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH LOW FAT MILK"	"Chocolate milk, made from sugar free syrup with low fat milk"
11513854	"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH FAT FREE MIL"	"Chocolate milk, made from sugar free syrup with fat free milk"
11513855	"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH NON-DAIRY MI"	"Chocolate milk, made from sugar free syrup with non-dairy milk"
11514100	"HOT CHOCOLATE _ COCOA, MADE WITH DRY MIX AND WATER"	"Hot chocolate _ Cocoa, made with dry mix and water"
11514110	"HOT CHOCOLATE _ COCOA, MADE WITH DRY MIX AND WHOLE MILK"	"Hot chocolate _ Cocoa, made with dry mix and whole milk"
11514120	"HOT CHOCOLATE _ COCOA, MADE WITH DRY MIX AND REDUCED FAT MIL"	"Hot chocolate _ Cocoa, made with dry mix and reduced fat milk"
11514130	"HOT CHOCOLATE _ COCOA, MADE WITH DRY MIX AND LOW FAT MILK"	"Hot chocolate _ Cocoa, made with dry mix and low fat milk"
11514140	"HOT CHOCOLATE _ COCOA, MADE WITH DRY MIX AND FAT FREE MILK"	"Hot chocolate _ Cocoa, made with dry mix and fat free milk"
11514150	"HOT CHOCOLATE _ COCOA, MADE WITH DRY MIX AND NON-DAIRY MILK"	"Hot chocolate _ Cocoa, made with dry mix and non-dairy milk"
11514310	"HOT CHOCOLATE _ COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND"	"Hot chocolate _ Cocoa, made with no sugar added dry mix and water"
11514320	"HOT CHOCOLATE _ COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND"	"Hot chocolate _ Cocoa, made with no sugar added dry mix and whole milk"
11514330	"HOT CHOCOLATE _ COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND"	"Hot chocolate _ Cocoa, made with no sugar added dry mix and reduced fat milk"
11514340	"HOT CHOCOLATE _ COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND"	"Hot chocolate _ Cocoa, made with no sugar added dry mix and low fat milk"
11514350	"HOT CHOCOLATE _ COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND"	"Hot chocolate _ Cocoa, made with no sugar added dry mix and fat free milk"
11514360	"HOT CHOCOLATE _ COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND"	"Hot chocolate _ Cocoa, made with no sugar added dry mix and non-dairy milk"
11519040	"STRAWBERRY MILK, NFS"	"Strawberry milk, NFS"
11519050	"STRAWBERRY MILK, WHOLE"	"Strawberry milk, whole"
11519105	"STRAWBERRY MILK, REDUCED FAT"	"Strawberry milk, reduced fat"
11519200	"STRAWBERRY MILK, LOW FAT"	"Strawberry milk, low fat"
11519205	"STRAWBERRY MILK, FAT FREE"	"Strawberry milk, fat free"
11519215	"STRAWBERRY MILK, NON-DAIRY"	"Strawberry milk, non-dairy"
11526000	"MILK, MALTED"	"Milk, malted"
11531000	"EGGNOG, REGULAR"	"Eggnog, regular"
11531500	"EGGNOG, LOWFAT _ LIGHT"	"Eggnog, lowfat _ light"
11541110	"MILK SHAKE, HOME RECIPE, CHOCOLATE"	"Milk shake, home recipe, chocolate"
11541120	"MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE"	"Milk shake, home recipe, flavors other than chocolate"
11541130	"MILK SHAKE, HOME RECIPE, CHOCOLATE, LIGHT"	"Milk shake, home recipe, chocolate, light"
11541135	"MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE, LIGHT"	"Milk shake, home recipe, flavors other than chocolate, light"
11541400	"MILK SHAKE WITH MALT"	"Milk shake with malt"
11542100	"MILK SHAKE, FAST FOOD, CHOCOLATE"	"Milk shake, fast food, chocolate"
11542200	"MILK SHAKE, FAST FOOD, FLAVORS OTHER THAN CHOCOLATE"	"Milk shake, fast food, flavors other than chocolate"
11543000	"MILK SHAKE, BOTTLED, CHOCOLATE"	"Milk shake, bottled, chocolate"
11543010	"MILK SHAKE, BOTTLED, FLAVORS OTHER THAN CHOCOLATE"	"Milk shake, bottled, flavors other than chocolate"
11551050	"LICUADO OR BATIDO"	"Licuado or Batido"
11553100	"FRUIT SMOOTHIE, NFS"	"Fruit smoothie, NFS"
11553110	"FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY"	"Fruit smoothie, with whole fruit and dairy"
11553120	"FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY, ADDED PROTEIN"	"Fruit smoothie, with whole fruit and dairy, added protein"
11553130	"FRUIT SMOOTHIE JUICE DRINK, WITH DAIRY"	"Fruit smoothie juice drink, with dairy"
11560000	"CHOCOLATE MILK DRINK"	"Chocolate milk drink"
11710000	"INFANT FORMULA, NFS"	"Infant formula, NFS"
11710050	"INFANT FORMULA, NS AS TO FORM (SIMILAC EXPERT CARE ALIMENTUM"	"Infant formula, NS as to form (Similac Expert Care Alimentum)"
11710051	"INFANT FORMULA, READY-TO-FEED (SIMILAC EXPERT CARE ALIMENTUM"	"Infant formula, ready-to-feed (Similac Expert Care Alimentum)"
11710053	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC EXPERT"	"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)"
11710054	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC EXPERT"	"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)"
11710055	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL"	"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)"
11710056	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC EXPERT"	"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)"
11710350	"INFANT FORMULA, NS AS TO FORM (SIMILAC ADVANCE)"	"Infant formula, NS as to form (Similac Advance)"
11710351	"INFANT FORMULA, READY-TO-FEED (SIMILAC ADVANCE)"	"Infant formula, ready-to-feed (Similac Advance)"
11710352	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (SI"	"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)"
11710353	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC ADVANC"	"Infant formula, powder, made with water, NFS (Similac Advance)"
11710354	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH TAP WATER (SIM"	"Infant formula, liquid concentrate, made with tap water (Similac Advance)"
11710355	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH PLAIN BOTTLED"	"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)"
11710356	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH BABY WATER (SI"	"Infant formula, liquid concentrate, made with baby water (Similac Advance)"
11710357	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC ADVANCE"	"Infant formula, powder, made with tap water (Similac Advance)"
11710358	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL"	"Infant formula, powder, made with plain bottled water (Similac Advance)"
11710359	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC ADVANC"	"Infant formula, powder, made with baby water (Similac Advance)"
11710360	"INFANT FORMULA, NS AS TO FORM (SIMILAC ADVANCE ORGANIC)"	"Infant formula, NS as to form (Similac Advance Organic)"
11710361	"INFANT FORMULA, READY-TO-FEED (SIMILAC ADVANCE ORGANIC)"	"Infant formula, ready-to-feed (Similac Advance Organic)"
11710363	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC ADVANC"	"Infant formula, powder, made with water, NFS (Similac Advance Organic)"
11710367	"INFANT FORMULA, POWDER, MADE WITH TAP WATER (SIMILAC ADVANCE"	"Infant formula, powder, made with tap water (Similac Advance Organic)"
11710368	"INFANT FORMULA, POWDER, MADE WITH PLAIN BOTTLED WATER (SIMIL"	"Infant formula, powder, made with plain bottled water (Similac Advance Organic)"
11710369	"INFANT FORMULA, POWDER, MADE WITH BABY WATER (SIMILAC ADVANC"	"Infant formula, powder, made with baby water (Similac Advance Organic)"
11710370	"INFANT FORMULA, NS AS TO FORM (SIMILAC SENSITIVE)"	"Infant formula, NS as to form (Similac Sensitive)"
11710371	"INFANT FORMULA, READY-TO-FEED (SIMILAC SENSITIVE)"	"Infant formula, ready-to-feed (Similac Sensitive)"
11710372	"INFANT FORMULA, LIQUID CONCENTRATE, MADE WITH WATER, NFS (SI"	"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)"
11710373	"INFANT FORMULA, POWDER, MADE WITH WATER, NFS (SIMILAC SENSIT"	"Infant formula, powder, made with water, NFS (Similac Sensitive)"
