"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
72203070	"BROCCOLI, CHINESE, COOKED, NS AS TO FORM, FAT ADDED IN COOKI"	"Broccoli, chinese, cooked, NS as to form, fat added in cooking, NS as to type of fat"
72203080	"BROCCOLI, CHINESE, COOKED, NS AS TO FORM, MADE WITH OIL"	"Broccoli, chinese, cooked, NS as to form, made with oil"
72203090	"BROCCOLI, CHINESE, COOKED, NS AS TO FORM, MADE WITH BUTTER"	"Broccoli, chinese, cooked, NS as to form, made with butter"
72203100	"BROCCOLI, CHINESE, COOKED, NS AS TO FORM, MADE WITH MARGARIN"	"Broccoli, chinese, cooked, NS as to form, made with margarine"
72203110	"BROCCOLI, CHINESE, COOKED, FROM FRESH, FAT ADDED IN COOKING,"	"Broccoli, chinese, cooked, from fresh, fat added in cooking, NS as to type of fat"
72203120	"BROCCOLI, CHINESE, COOKED, FROM FRESH, MADE WITH OIL"	"Broccoli, chinese, cooked, from fresh, made with oil"
72203130	"BROCCOLI, CHINESE, COOKED, FROM FRESH, MADE WITH BUTTER"	"Broccoli, chinese, cooked, from fresh, made with butter"
72203140	"BROCCOLI, CHINESE, COOKED, FROM FRESH, MADE WITH MARGARINE"	"Broccoli, chinese, cooked, from fresh, made with margarine"
72203150	"BROCCOLI, CHINESE, COOKED, FROM FROZEN, FAT ADDED IN COOKING"	"Broccoli, chinese, cooked, from frozen, fat added in cooking, NS as to type of fat"
72203160	"BROCCOLI, CHINESE, COOKED, FROM FROZEN, MADE WITH OIL"	"Broccoli, chinese, cooked, from frozen, made with oil"
72203170	"BROCCOLI, CHINESE, COOKED, FROM FROZEN, MADE WITH BUTTER"	"Broccoli, chinese, cooked, from frozen, made with butter"
72203180	"BROCCOLI, CHINESE, COOKED, FROM FROZEN, MADE WITH MARGARINE"	"Broccoli, chinese, cooked, from frozen, made with margarine"
72302000	"BROCCOLI SOUP, PREPARED WITH MILK, HOME RECIPE, CANNED OR RE"	"Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve"
72302020	"BROCCOLI SOUP, PREPARED WITH WATER, HOME RECIPE, CANNED, OR"	"Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve"
72302100	"BROCCOLI CHEESE SOUP, PREPARED WITH MILK, HOME RECIPE, CANNE"	"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve"
72306000	"WATERCRESS BROTH WITH SHRIMP"	"Watercress broth with shrimp"
72307000	"SPINACH SOUP"	"Spinach soup"
72308000	"DARK-GREEN LEAFY VEGETABLE SOUP WITH MEAT, ASIAN STYLE"	"Dark-green leafy vegetable soup with meat, Asian style"
72308500	"DARK-GREEN LEAFY VEGETABLE SOUP, MEATLESS, ASIAN STYLE"	"Dark-green leafy vegetable soup, meatless, Asian style"
73101010	"CARROTS, RAW"	"Carrots, raw"
73101110	"CARROTS, RAW, SALAD"	"Carrots, raw, salad"
73101210	"CARROTS, RAW, SALAD WITH APPLES"	"Carrots, raw, salad with apples"
73102200	"CARROTS, COOKED, NS AS TO FORM, NS AS TO FAT ADDED IN COOKIN"	"Carrots, cooked, NS as to form, NS as to fat added in cooking"
73102201	"CARROTS, COOKED, FROM FRESH, NS AS TO FAT ADDED IN COOKING"	"Carrots, cooked, from fresh, NS as to fat added in cooking"
73102202	"CARROTS, COOKED, FROM FROZEN, NS AS TO FAT ADDED IN COOKING"	"Carrots, cooked, from frozen, NS as to fat added in cooking"
73102203	"CARROTS, COOKED, FROM CANNED, NS AS TO FAT ADDED IN COOKING"	"Carrots, cooked, from canned, NS as to fat added in cooking"
73102210	"CARROTS, COOKED, NS AS TO FORM, FAT NOT ADDED IN COOKING"	"Carrots, cooked, NS as to form, fat not added in cooking"
73102211	"CARROTS, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING"	"Carrots, cooked, from fresh, fat not added in cooking"
73102212	"CARROTS, COOKED, FROM FROZEN, FAT NOT ADDED IN COOKING"	"Carrots, cooked, from frozen, fat not added in cooking"
73102213	"CARROTS, COOKED, FROM CANNED, FAT NOT ADDED IN COOKING"	"Carrots, cooked, from canned, fat not added in cooking"
73102214	"CARROTS, COOKED, NS AS TO FORM, MADE WITH OIL"	"Carrots, cooked, NS as to form, made with oil"
73102215	"CARROTS, COOKED, NS AS TO FORM, MADE WITH BUTTER"	"Carrots, cooked, NS as to form, made with butter"
73102216	"CARROTS, COOKED, NS AS TO FORM, MADE WITH MARGARINE"	"Carrots, cooked, NS as to form, made with margarine"
73102217	"CARROTS, COOKED, FROM FRESH, MADE WITH OIL"	"Carrots, cooked, from fresh, made with oil"
73102218	"CARROTS, COOKED, FROM FRESH, MADE WITH BUTTER"	"Carrots, cooked, from fresh, made with butter"
73102219	"CARROTS, COOKED, FROM FRESH, MADE WITH MARGARINE"	"Carrots, cooked, from fresh, made with margarine"
73102220	"CARROTS, COOKED, NS AS TO FORM, FAT ADDED IN COOKING, NS AS"	"Carrots, cooked, NS as to form, fat added in cooking, NS as to type of fat"
