Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
BMXBMI	0.0395076013089127	-0.171126091634189	0.0668009172797952	-0.0923741100617605	0.208674796021005	-0.122688221074123	0.045405096189469	0.0777910185419518	-0.523386581961795	0.224205426702275	0.0547511025289662	0.129806636913775	0.208235079029078	-0.292794015245815	-0.03228494986023	-0.0221758147084233	-0.245854160636177	0.286148746487942	0.0790885000084776	0.164005027761408	-0.252080277345139	-0.0887838439471244	0.386226432861037	0.0526958730612711	0.0689075414476424	-0.0605610927663432	-0.0459494165943612	0.0526523670490092	-0.0512196752005001	-2.35091707872941e-16	0
F_CITMLB	0.182040512434846	0.22212702627142	0.0537283054024492	-0.118562729489473	-0.174690671221071	-0.367447025582447	-0.0801043910789841	0.30479540403332	0.145473411105021	-0.11704126811597	-0.168979327416385	0.220647824005019	0.0615813185678235	-0.069180910176122	0.195643167933348	0.0750672239148726	-0.212685500905797	0.0175605960106893	-0.268828127372256	0.0778624961741378	0.0174183165054548	0.1987164555858	0.0372923793699231	-0.078681836249934	-0.0138051005120746	0.0337816425279728	-0.0046189336332764	-0.256460797583628	-0.482454744904763	-6.21791827603572e-17	1.37839066095709e-16
F_TOTAL	0.190438851497001	0.325457051992213	0.0899769660023677	-0.20808368437841	-0.338837878838168	-0.201996450973527	0.177228679977675	0.086047628978458	-0.0288518277127144	-0.0300746305377552	-0.0129724494090431	0.24568138233357	-0.0824324208540526	-0.0277799786184372	0.112372862736004	0.0122917849709364	-0.098041169835433	-0.0567588603281856	0.00106159059169868	0.013721483864237	-0.0308721561819221	0.0139897465718514	0.0574113600313839	-0.0380041491676483	0.00207990968121217	0.0291230096924958	-0.0829494287567525	0.368982321038789	0.605462485774743	1.01567317173227e-16	2.33456010685032e-16
F_JUICE	0.0214808584439213	0.140804246695899	0.023555878294176	-0.075485102632436	-0.346751234148419	0.0821988966412268	0.446566912353298	-0.163418109331347	-0.230293159993517	-0.0332123292791477	0.177721979485424	0.175520512716928	-0.294512297362757	0.0317851415171202	-0.143812870221349	0.122360204588338	0.0659998028492957	0.136837077484309	0.143065686401218	0.11941579142969	0.14317292584432	-0.372900032472143	-0.144147396141808	0.0556646971103112	0.0404427482907217	-0.0763349921309381	0.0514967676084881	-0.14052388431732	-0.330616143876489	-4.35295994738894e-17	-1.00192930552127e-16
V_DRKGR	0.159235720997319	0.261722098965664	-0.0430011822218183	0.129340913096873	0.0899883393239376	0.24501226036288	-0.0925299514497198	-0.0907054368753944	-0.0214924021402292	0.19705544140606	0.171880068600901	0.14775447123713	-0.178678736954987	-0.161408290258752	0.12220491308005	-0.350154609504561	-0.0342483963977007	-0.478344285931902	-0.0982894713470221	0.29208005590848	-0.316321537095957	-0.0316136136975635	-0.0276241364471394	0.0152820068754262	-0.0194431108106043	-0.0466375489896397	0.151515840715642	-0.0769750700529106	-0.0613394278973851	-0.205102980071216	-0.110376746745546
V_REDOR_TOTAL	0.284955586386337	0.0146825713078245	0.00787484132853121	0.28218828174733	0.123400070969191	0.217411682898126	0.295756755092331	0.0925887801078181	0.111807318105654	0.0456457119331743	0.0686301878491528	-0.0211826940526472	-0.0428218646973628	-0.0296289221984583	-0.0366455713048221	0.229615878997573	-0.0325810552124794	0.0174920048758903	-0.060209654312745	-0.250526057924765	-0.00221495515182827	0.100811768012781	0.174988081173128	-0.45069903415151	0.418660899571308	-0.0147651803582681	-0.148437423060913	0.103157856580802	-0.0763453643148229	-0.246182891913687	-0.13248401707478
V_REDOR_OTHER	0.263362322889265	0.15936200814499	-0.0405805771878278	0.128133973495094	0.119234853779037	0.171388753172196	0.228610237401586	-0.000659320290110135	-0.0338029629983082	0.289388394408527	-0.0752473139067584	0.0722683684761356	0.0780065773495818	0.0587269165738335	-0.213823691323808	0.328797994790558	0.0869301207550412	0.150063441485066	-0.26827046893696	-0.0673322990839262	-0.0561155424270402	0.272340075582065	-0.0364680406557972	0.371138898316837	-0.36340843735077	0.143590008047753	0.157869366367141	-0.136626355639021	0.113776816863374	5.17362192507466e-17	1.91252072233266e-17
V_STARCHY_TOTAL	0.0966662520730581	-0.139206503320602	-0.382138070769489	0.232550955440011	-0.17381954516363	-0.311887104984586	0.0464790501000596	-0.107851000907906	-0.0901254279639012	-0.142544257060541	-0.0890019828568576	-0.129028281683384	-0.0278414036132057	0.115624125220873	-0.155947174826588	-0.0774838267553275	-0.10840202368629	0.0154680851073496	0.210127973404793	0.188875260768026	0.0175496250607466	0.0481820300400901	0.147926389332006	-0.167735629263979	-0.192342877996567	0.263855256808173	0.0711048322887543	-0.268929354438155	0.168710924148029	-0.368888044666482	-0.198518140835761
V_STARCHY_OTHER	0.0424409404278199	0.0352377633448	-0.27592972012034	0.179606624157632	-0.198030959662659	-0.317332818929534	-0.0899387795985696	-0.180476870369238	-0.275724901628889	0.170119463778145	-0.159502773490193	-0.272573422712681	-0.125113768127314	0.183586964423922	0.0139223393139042	0.0481854612818661	0.00741597623832092	-0.0935038625694088	-0.252612928584545	-0.184410256686347	-0.211392672110589	0.0331749262828916	-0.102946785105784	0.227902301996041	0.227477641844806	-0.325703688584996	-0.126363354481121	0.215177153243236	-0.127934669358214	-1.32697950504693e-16	-7.12495184299361e-17
V_OTHER	0.3103306539282	0.16668419622585	-0.132837202481211	0.0811241391326533	0.230910986149113	0.0314660580750224	-0.181610156376413	0.0799989122298279	0.0702582220530126	-0.0555261962857291	-0.0660047155909106	0.0515148244141132	0.157551359767411	-0.00402999375492255	0.208852414527994	-0.0599672517535726	-0.0185006383696137	0.218607669031378	0.136057830968805	0.0434473288444043	0.42810896689178	-0.294900081708103	-0.0976201336451086	0.342846428053214	0.0410600032883605	-0.230485396022242	-0.0939652762791646	0.0853697388205561	0.0256596262713946	-0.32171535915053	-0.173132027183519
