Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
BMI	-0.0887404837866455	-0.268536673267547	-0.182479589950748	-0.0743690769907256	0.417002716038237	0.122630026321546	-0.339495311917222	0.198140608340457	-0.146949991429749	0.0165681461417441	0.0338064545805784	-0.156283719687621	-0.0341557015764938	-0.200009017120295	-0.00257876413745904
F_TOTAL	0.219387176021943	-0.177342085791978	0.32710881563274	-0.109606645066233	0.114146042279395	-0.0726762905985845	-0.0661474532991357	0.0230112326860025	0.258999431508888	0.165382444592855	-0.0646703121926413	-0.447323158564676	-0.0585955719117889	0.140916552770152	0.233931146333974
F_CITMLB	0.172292922971046	-0.0726289247285212	0.33047162723363	0.00779288979728403	-0.180021567961101	-0.0512016718547841	0.232397826764258	-0.227662240623676	-0.561599224897211	-0.0165855011753599	-0.0256775057377919	-0.223717324241824	0.267581331019862	0.000843718793518473	0.134749307377899
PF_NUTSDS	0.187595658772469	-0.0315563411229084	0.197218363759426	-0.29638548561911	0.311054027362797	-0.118970633105921	-0.324515059080378	-0.0781743933715894	0.0426481388544146	0.034677198048908	0.413109188415075	-0.127464823025817	-0.0590768564120855	-0.190266011164361	-0.00276000202653785
V_TOTAL	0.233957478563528	0.13213097076691	-0.318184610837914	-0.238205889465733	0.0407489600653947	0.00732166732488376	0.0573414609532634	-0.114949548216619	-0.09193283207187	-0.13010641842142	-0.117037645078094	-0.120447384074866	-0.0658950135768924	0.0552339831515263	0.518552457943738
V_DRKGR	0.233559257957206	0.0771418941470735	0.0670146798887312	-0.330947982981359	-0.25565332087281	0.00345296961645721	-0.0549111747590608	0.156471214665686	0.0566009488273542	-0.452503449957302	-0.131240693363779	0.107803150420209	-0.0160668430731628	-0.330478283291202	-0.104993829440731
V_REDOR_TOTAL	0.255895290461923	-0.0572019860924658	-0.352891110739059	-0.00988137206948273	0.0316222230623025	-0.0912387992774976	-0.0423424942194102	0.171707526799043	0.224905251179225	-0.0780405439836169	-0.137735375156529	-0.0839271749437337	0.101258688907695	0.603930972307424	-0.0141970586907482
G_WHOLE	0.32357063451457	-0.0517489777814418	0.0805999335302053	-0.0816300558778934	-0.0941292565285584	-0.183016724378945	-0.169025063820114	0.285568422122643	-0.0889410032428215	-0.0875116115748791	-0.165828702176101	0.305200482566897	0.159671996987847	-0.175945918387717	0.218182126575196
V_STARCHY_TOTAL	0.0615654799272046	-0.0622534169856506	-0.425622672153687	0.0366965855239235	0.184614610065298	-0.178923273988973	0.049700108064679	-0.430700456450208	-0.222182050208949	-0.195432819216216	-0.132316069890128	-0.11288069931125	-0.181887657011795	-0.152646794003464	-0.0338568156155431
V_STARCHY_OTHER	-0.0420851511566981	0.320798182523873	0.0512628992694743	0.044545083472198	0.0938428723540661	-0.416100393785499	-0.246700908152235	-0.0446103317930378	-0.417977595287309	0.163052604335887	0.112603704403329	0.108701544881877	-0.0820638965918708	0.268991212574029	0.0238682164543342
V_OTHER	0.127303042523295	0.308025642338187	-0.0636797473831144	-0.320263255309187	0.0280647360516388	0.227478126150937	0.121330241904377	-0.0225312585652925	-0.144404504835365	0.20291750464752	0.040616061549905	-0.139900039153614	-0.0179125543187439	0.0551197319478648	-0.313667658464969
PF_LEGUMES	0.2932677589868	0.0257079979308904	-0.00819171620484908	0.237745199458926	-0.138809404457334	0.103602319289524	0.321527290803682	0.113562596932196	0.0419275136799994	0.17811776858357	0.0833226714926446	-0.234226730591228	-0.549884478444657	-0.22823140320063	0.0465844496188775
ADD_SUGARS	-0.0999111557778454	-0.373819585491787	-0.0878611112427185	-0.0356245603366261	-0.119155943151848	-0.0518979715811762	0.0351486913544905	0.199513576674242	-0.208934172998498	0.356379832383287	-0.267784821102933	-0.104709495987779	0.0903716176344971	-0.0869476170550566	-0.186893433866091
PF_TOTAL	-0.271613508894564	0.281574476233933	0.0322036931566608	-0.0870124810131319	0.0193265841363936	0.0646526128665329	-0.145010686231826	0.149434216913766	-0.0193233313328771	-0.00308673299265776	-0.143388958548858	-0.254463741138314	-0.0240585047195681	-0.107995826675393	-0.0376725564658763
PF_MEAT	-0.261173021436827	-0.186691136271602	-0.0315614154144394	0.0961122207856798	-0.0849482884763525	0.276300011237055	-0.20515339118061	0.122719027258976	-0.277853192488851	-0.329843923836733	-0.132776889484341	-0.174934663316889	-0.269763365089808	0.0833562957370234	0.164477445423373
PF_CUREDMEAT	-0.224977432489926	0.0221892225874192	-0.0304433894664185	-0.348304001754309	0.240724397513106	-0.054338213171274	0.377355428429238	0.0114278556710382	0.0794747942398797	0.227979783178521	-0.0453263825744178	0.329740888488086	-0.20748770418953	-0.0718855073721175	0.316610058989382
PF_POULT	-0.207561602291372	0.115574723852681	0.0209999904535333	-0.108903003503013	0.365780851610675	0.0221948878029936	0.463060210321278	0.27303016158196	-0.0643284885237713	-0.294210672445024	0.0678099489530692	-0.204111002274463	0.357024334129215	-0.0119085812484427	-0.00285692223084283
PF_SEAFD_HI	-0.152258158646795	0.238624156775474	0.039161689115353	-0.156968443912363	-0.222708607471326	0.481608164799759	-0.234802214463324	-0.116111199033967	0.0156609153517754	0.200419831910113	-0.055332598534009	-0.0270530758083343	0.132790140579191	0.0821647467703913	0.361365020124104
PF_SEAFD_LOW	-0.0835917045458461	0.30827649693345	-0.0305857808894281	0.188866775744242	-0.0491514165010649	-0.392296289443194	-0.0176938605049105	0.36867585171063	0.052600720146352	0.11107749442016	-0.197405016474273	-0.298498468366313	0.0396602313502454	-0.165398364517307	0.170324030775329
PF_EGGS	-0.228101278150092	0.26467642161061	0.0617410773403144	-0.203142140324747	-0.156554929323345	-0.2318527418488	-0.0956634538779077	-0.0932117010446947	0.0846251228473679	-0.121033930635516	-0.186434014918034	-0.0817859504602562	-0.303861960582435	0.0181432916884947	-0.210754255721255
PF_SOY	0.115893362420964	0.239906276753116	-0.108063907407605	0.326795183080914	0.202957515307037	0.0986023730801965	-0.120014656179612	-0.323923163035706	0.216461813329173	0.109921577052107	-0.283502502219459	-0.0490665078115063	0.33438037489585	-0.352041426825999	-0.00493962254551651
D_TOTAL	-0.225100108953913	-0.197673774026603	0.0664379906537072	-0.186823184566934	-0.214663454865705	-0.236161040673786	0.0437840616123446	-0.333426577401357	0.278287092846037	-0.169956177783208	0.0494665915917082	-0.302398619686674	0.116863718120921	0.0306020431783662	-0.0176772418975705
D_YOGURT	0.115092020877158	-0.053892944144043	0.371911341728609	-0.113403683325713	0.333788607633087	0.0818793585265396	0.0162551509706252	-0.114795861204219	-0.0227735762924234	0.00978788129774744	-0.643499096820265	0.0995843192908125	-0.156724409319421	0.156247542556976	-0.179785043729978
SOLID_FATS	-0.264646343578855	-0.258639999946195	-0.0550267983354506	-0.106772085432955	-0.115506355837162	-0.234301358121817	-0.0146932469392961	-0.106760200410386	0.0638175326807336	0.190835063305291	-0.125018583635114	0.108412996552861	0.045581024726578	-0.156410147234886	0.212197738666574
