FoodID	taxonomy	Main.food.description
11513380.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk_Nesquik_	Chocolate milk made from dry mix NS as to type of milk Nesquik 
11513500.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Chocolate_milk_made_from_syrup_with_whole_milk	Chocolate milk made from syrup with whole milk
11514110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Hot_chocolate_Cocoa_made_with_dry_mix_and_whole_milk	Hot chocolate Cocoa made with dry mix and whole milk
11514310.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_water	Hot chocolate Cocoa made with no sugar added dry mix and water
11514330.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_reduced_fat_milk	Hot chocolate Cocoa made with no sugar added dry mix and reduced fat milk
11542200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Milk_shake_fast_food_flavors_other_than_chocolate	Milk shake fast food flavors other than chocolate
11553110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Fruit_smoothie_with_whole_fruit_and_dairy	Fruit smoothie with whole fruit and dairy
11553120.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;Fruit_smoothie_with_whole_fruit_and_dairy_added_protein	Fruit smoothie with whole fruit and dairy added protein
11810000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;Milk_dry_not_reconstituted_NS_as_to_fat_content	Milk dry not reconstituted NS as to fat content
12110100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_light	Cream light
12120100.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_half_and_half	Cream half and half
12120110.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_half_and_half_fat_free	Cream half and half fat free
12140000.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;Cream_whipped	Cream whipped
12210200.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid	Coffee creamer liquid
12210210.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid_flavored	Coffee creamer liquid flavored
12210260.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid_fat_free	Coffee creamer liquid fat free
12210280.0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;Coffee_creamer_liquid_fat_free_sugar_free_flavored	Coffee creamer liquid fat free sugar free flavored
