Food	Axis	correlation	pval	qval	Significance
Yogurt low fat milk fruit	Axis.6	-0.247600481195547	0.000121275516957827	0.0299265172728284	*
Bread whole wheat	Axis.4	-0.246718463434575	0.000128455238273214	0.0312388246119497	*
Rice white cooked fat added in cooking made with oil	Axis.6	-0.24516861952143	0.000142043957211935	0.033932569721692	*
Lettuce raw	Axis.3	0.245002636242597	0.000143576427308709	0.033932569721692	*
Peanut butter	Axis.8	0.243579255794619	0.000157367869628601	0.0366754562828878	*
Cheese NFS	Axis.8	-0.242953481860971	0.000163814944086088	0.0376549967365007	*
Coffee creamer liquid flavored	Axis.5	0.239175043136213	0.000208293532348401	0.0466022063040823	*
Soft drink cola diet	Axis.7	0.239332489247488	0.00020623468499116	0.0466022063040823	*
Cheese NFS	Axis.5	0.238950125022563	0.000211267967239297	0.0466457432930974	*
Pork bacon NS as to fresh smoked or cured cooked	Axis.7	0.237980005923656	0.000224557189546812	0.0489359693583832	*
Coffee instant decaffeinated reconstituted	Axis.4	0.237528342244275	0.000231006710865386	0.0496960590810406	*
Spinach raw	Axis.9	0.236738660448121	0.000242699664656883	0.0515506376321835	
Coffee creamer liquid	Axis.6	-0.235402836211737	0.000263743430602885	0.0546372193273631	
Cucumber raw	Axis.8	-0.2354787179349	0.000262503901187881	0.0546372193273631	
Coffee brewed	Axis.6	-0.23349849109199	0.000296694686691831	0.0607138639352308	
Ham prepackaged or deli luncheon meat	Axis.8	0.231421922895459	0.000336968618119187	0.0674007280645524	
Banana raw	Axis.3	0.231400698876721	0.000337405313314804	0.0674007280645524	
Coffee creamer liquid	Axis.10	-0.230989021218487	0.000345980560704389	0.0675064396351122	
Mayonnaise type salad dressing	Axis.4	-0.231000750594153	0.000345733459877284	0.0675064396351122	
Egg whole fried NS as to fat added in cooking	Axis.2	0.229494096289547	0.000378852405907273	0.0728187088465125	
Margarine like spread tub salted	Axis.8	0.229362277430747	0.000381885958193868	0.0728187088465125	
Grapes raw NS as to type	Axis.2	-0.228818010380285	0.000394651587374836	0.0744073442264017	
Soft drink cola	Axis.5	-0.226283117851295	0.000459495408668797	0.0856703661940268	
Turkey prepackaged or deli luncheon meat	Axis.7	0.225877006282602	0.000470758615548104	0.0868058194384306	
Coffee creamer liquid	Axis.5	0.225665034097079	0.00047673863732092	0.0869529818939678	
Orange juice 100 canned bottled or in a carton	Axis.9	0.225410881953317	0.000484001400287278	0.0873284246969949	
Carrots raw	Axis.2	-0.223289414393733	0.000548748426927889	0.0979574319558508	
Beer	Axis.10	-0.222690607743595	0.000568424184886416	0.100401661288358	
Bread white	Axis.9	-0.221993136048602	0.00059216398580752	0.103505330019273	
Mayonnaise regular	Axis.2	0.220695871632545	0.000638774431335448	0.110501391317617	
Sugar white granulated or lump	Axis.10	-0.22027001242787	0.000654799863447285	0.112117772537198	
Coffee creamer powder	Axis.4	-0.218743469337683	0.000715346834551612	0.121247675593697	
Beef steak broiled or baked lean only eaten	Axis.5	0.216981344554899	0.000791643315560665	0.13283774835108	
Cheese Cheddar	Axis.10	-0.216405666183301	0.000818151342218995	0.135926529925096	
Cheese NFS	Axis.3	0.215778665399317	0.000847951826927466	0.139496388782773	
Romaine lettuce raw	Axis.2	-0.214025073886491	0.000936689138315714	0.152598482921725	
Ice cream regular flavors other than chocolate	Axis.5	-0.213394751231091	0.000970620208615481	0.156605837505459	
Coffee creamer powder	Axis.1	-0.212932924818748	0.000996194826559377	0.159201420853965	
Bread wheat or cracked wheat	Axis.8	0.211185218786984	0.00109869110926362	0.173924875598523	
Tomatoes raw	Axis.3	0.210527391521761	0.00113971750266575	0.178733268175059	
Turkey prepackaged or deli luncheon meat	Axis.4	-0.20860120577519	0.00126807369818651	0.190460236765797	
Cookie brownie without icing	Axis.9	0.208857958299483	0.00125023041242331	0.190460236765797	
Cantaloupe raw	Axis.1	0.208825073721375	0.00125250282753227	0.190460236765797	
Pepper raw NFS	Axis.4	-0.208675124993511	0.00126291280792453	0.190460236765797	
Mustard	Axis.6	0.208555873008587	0.00127124830260842	0.190460236765797	
Milk NFS	Axis.6	-0.208262949647746	0.001291937765737	0.191847041673158	
Egg whole boiled or poached	Axis.1	0.206444648497258	0.00142742602993088	0.210107094581054	
Egg whole boiled or poached	Axis.2	-0.20544568771891	0.00150728559891907	0.218057164715007	
Apple raw	Axis.2	-0.205443957934482	0.00150742736036596	0.218057164715007	
Tomatoes raw	Axis.1	0.203157007439803	0.0017058933750219	0.244657186605704	
Cabbage green raw	Axis.2	-0.202407061373791	0.00177600030984706	0.252553264400286	
Italian dressing made with vinegar and oil	Axis.9	0.202182527969798	0.00179749644955043	0.253462104398792	
Grapes raw NS as to type	Axis.9	-0.201521449946673	0.00186217294439962	0.260393850058546	
Coffee brewed	Axis.8	0.199704107641463	0.00205106970706231	0.284437600698394	
Tomato catsup	Axis.6	0.199070177927898	0.00212096472056077	0.291719573860735	
Cucumber raw	Axis.1	0.198618470443738	0.00217208516907756	0.296321862903426	
Sugar white granulated or lump	Axis.9	0.197314269427178	0.00232604472988746	0.312248244540092	
Soft drink cola decaffeinated diet	Axis.9	0.197447100973129	0.0023099219081731	0.312248244540092	
Blue or roquefort cheese dressing	Axis.4	-0.196867889996508	0.0023809784222165	0.317085856545975	
Chicken breast baked broiled or roasted with marinade skin not eaten from raw	Axis.8	-0.196055533765208	0.00248398819015323	0.328199384494262	
Ice cream regular flavors other than chocolate	Axis.4	-0.195297279527055	0.00258377602323807	0.338716888046365	
Cheese American	Axis.6	0.195080882412122	0.00261291487475242	0.338749227119794	
Rice with beans	Axis.10	-0.194848153526185	0.0026445857421152	0.338749227119794	
Orange raw	Axis.2	-0.194940486617383	0.00263197912389551	0.338749227119794	
Italian dressing made with vinegar and oil	Axis.8	-0.194596650834023	0.00267920305357731	0.340583539689601	
Milk reduced fat 2 	Axis.6	0.194273737433298	0.00272425260759758	0.343706456808176	
Milk low fat 1 	Axis.6	-0.193887390281296	0.00277905467895144	0.345426203798557	
Celery raw	Axis.4	-0.193935819444514	0.00277213074729394	0.345426203798557	
Soft drink root beer	Axis.10	0.193449172929021	0.00284242390074146	0.350704948929719	
Potato hash brown from restaurant	Axis.7	0.193246704361787	0.00287214260805643	0.351785058125452	
Cereal Kellogg s Corn Flakes 	Axis.3	0.192142609372936	0.00303921932295295	0.367697970757186	
Rice with beans	Axis.2	0.191977759988596	0.00306490710931141	0.367697970757186	
Papaya raw	Axis.6	-0.191856607014607	0.0030839111124605	0.367697970757186	
Soft drink cola	Axis.4	0.19181974275412	0.00308971477215513	0.367697970757186	
Cheese NFS	Axis.1	0.191589355135143	0.00312621014673156	0.367731582903325	
Almonds unsalted	Axis.2	-0.191404704266648	0.0031557418318283	0.367731582903325	
Margarine tub salted	Axis.8	0.191514684029947	0.00313812220820227	0.367731582903325	
Cheese Provolone	Axis.4	-0.191244228386016	0.0031816121016193	0.368189317690841	
Blueberries raw	Axis.2	-0.190560888479338	0.00329393672320119	0.377214134104114	
Mustard	Axis.5	-0.19049737088892	0.00330455767063795	0.377214134104114	
Pork bacon NS as to fresh smoked or cured cooked	Axis.4	0.190075900178151	0.00337582157867371	0.380565505723533	
Chicken NS as to part and cooking method NS as to skin eaten	Axis.5	-0.189923349168198	0.00340195624901847	0.380565505723533	
Cucumber pickles relish	Axis.8	0.189969666885006	0.00339400192728592	0.380565505723533	
Yogurt low fat milk fruit	Axis.4	-0.189653910794432	0.00344856323337822	0.383224444080044	
Italian dressing light	Axis.4	-0.188621964755438	0.00363245616065931	0.401004041946469	
Orange raw	Axis.10	0.188254957388851	0.00369996321795723	0.405786815668773	
Soft drink fruit flavored caffeine containing	Axis.3	0.187669541063715	0.0038099923309022	0.415140722808694	
Water bottled unsweetened	Axis.4	0.187403460681015	0.00386097175990294	0.417981329878524	
Milk fat free skim 	Axis.2	-0.186613432975819	0.0040159847186759	0.419681586417882	
Turkey prepackaged or deli luncheon meat	Axis.1	0.186607347695296	0.00401720020367403	0.419681586417882	
Turkey prepackaged or deli luncheon meat	Axis.5	-0.186287852233572	0.00408148476573837	0.419681586417882	
Mixed nuts without peanuts unsalted	Axis.2	-0.186808482978948	0.00397720037114154	0.419681586417882	
Pancakes plain	Axis.8	0.186187952640406	0.00410177474210564	0.419681586417882	
Cereal Kellogg s Corn Flakes 	Axis.1	-0.186526063997374	0.00403346780620168	0.419681586417882	
Tomato catsup	Axis.1	0.186542581702478	0.00403015725561524	0.419681586417882	
Onions mature raw	Axis.4	-0.187146860265777	0.00391071724068631	0.419681586417882	
Soft drink cola	Axis.2	0.1862354386385	0.0040921188469726	0.419681586417882	
Cabbage salad or coleslaw from fast food restaurant	Axis.4	-0.18579143168902	0.0041832095505636	0.425419734899741	
Beef sausage	Axis.4	0.185598313092854	0.00422339623465552	0.426919209744094	
Soft drink cola decaffeinated diet	Axis.7	0.184234853042995	0.00451716457542472	0.453880368716328	
Bread white made from home recipe or purchased at a bakery	Axis.10	-0.182137902364586	0.00500495925974239	0.497172457180687	
Sugar substitute stevia powder	Axis.2	-0.182128376342353	0.00500727921713565	0.497172457180687	
Tea iced bottled black	Axis.1	-0.181406524525605	0.00518591381331531	0.511880198749594	
Yogurt low fat milk fruit	Axis.5	-0.181265585240224	0.00522145197217257	0.512374059023718	
Cheeseburger 1 medium patty with condiments on bun from fast food restaurant	Axis.4	-0.180840538292053	0.0053299561212517	0.519980602991881	
